"","Viral_Species","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106","Total_Reads"
"385","333767",1,1,3,2,0,2,1,4,2,3,2,0,4,11,295,4,3,5,4,6,2,355
"386","333769",1,0,3206,2,0,0,1,1,1,0,0,2,0,11,2,0,0,1,1,1,0,3230
"387","333770",6,0,11,9,5,10,3,6,6,5,9,6,3,8,4,13,6,2,17,5,5,139
"388","333771",0,0,0,0,0,1,0,0,3,4,1,0,1,8,22,0,1,1,3,2,0,47
"389","333772",1,1,0,3,2,3,0,0,2,10,4,2,0,15,40641,1,2,0,0,1,0,40688
"392","334210",9,0,20,11,20,12,10,20,11,13,18,3,7,33,4409,13,5,3,12,11,9,4649
"393","334211",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"396","337039",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25
"397","337041",0,0,0,0,1,0,0,0,0,0,1,0,0,1,378,0,0,0,26,0,0,407
"400","337044",0,0,0,0,0,0,0,0,0,0,0,1,0,37,0,0,0,0,0,0,0,38
"401","337050",6,0,4,5,4,3,1,4,2,4,5,3,0,13,1,1,2,0,3,7,0,68
"403","338323",9,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,80
"406","338327",0,0,0,2,0,0,1,0,0,3,0,1,1,0,8687,1,0,0,0,1,0,8697
"408","340016",0,0,1,1,0,0,0,0,0,0,0,33,38,0,0,1,0,0,0,0,0,74
"410","342409",0,0,7,4,2,4,8,5,0,4,0,0,3,0,0,19,2,0,0,1,0,59
"413","345201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"414","346673",58,12,75,85,63,48,23,52,47,42,49,57,139,18,16,42,80,7,41,59,39,1052
"418","359919",0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,4
"420","363555",12,1,0,0,0,0,0,0,0,0,2,0,4,0,0,0,8,0,1,0,0,28
"423","368735",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"424","372443",78,23,120,117,81,78,42,97,47,60,59,73,244,37,23,142,112,11,43,66,72,1625
"425","372457",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"427","379501",0,0,0,177,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,202
"430","380598",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17
"432","384848",0,0,0,0,0,0,1,0,2,0,0,0,3179,0,0,0,0,0,0,0,0,3182
"436","396034",1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6
"440","417280",0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
"441","419435",24,3,19,6,22,13,16,25,3,16,19,5,168,8,2,43,28,4,22,28,38,512
"442","419544",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30
"448","432261",0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,17
"451","438780",0,0,6,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,14
"453","444878",0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,241
"459","447909",0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,145
"471","481851",0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,22
"475","490711",1,0,3,4,1,0,4,3,0,4,1,1,4,2,1,2,5,1,2,6,0,45
"478","496874",15,7,0,1,0,0,0,0,6,0,2,0,237,0,0,0,1,57,8,0,0,334
"481","523909",0,0,0,0,0,0,0,0,0,1,0,0,119,0,0,0,0,0,0,0,0,120
"484","537874",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"488","542836",1,0,211,0,0,0,0,0,0,0,0,3,0,0,546,0,3,7,3317,0,0,4088
"496","558016",0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,10
