"","Var1","freq","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"16","Chrysoviridae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"17","Circoviridae",24,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0
"18","Closteroviridae",4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Coronaviridae",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Endornaviridae",7,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"21","Flaviviridae",10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"22","Fuselloviridae",104,1,0,0,4,4,7,11,0,2,3,8,3,1,0,0,13,1,0,0,3,0,1,3,0,0,1,1,0,0,0,0,5,4,2,0,2,0,6,2,0,2,0,0,4,0,0,0,5,1,0,1,3,0,0
"23","Hepadnaviridae",112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Hepeviridae",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"25","Herpesviridae",1656626,283,53,297,416,416,621,248,497,198,233,234,205,651,275,124,209,285,71,0,257,247,1367,386,1633432,204,389,272,176,3131,223,3024,259,334,183,3881,402,93,271,78,47,294,77,159,328,67,49,107,412,250,107,269,321,142,72
"26","Hytrosaviridae",46,1,1,1,0,0,4,0,1,4,0,0,0,2,1,0,0,4,0,0,1,1,0,3,0,0,3,0,0,1,0,0,0,0,0,0,3,0,2,1,0,4,0,0,2,0,0,0,0,0,0,4,1,1,0
"27","Inoviridae",8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0
"28","Iridoviridae",650,29,0,13,23,23,19,18,28,4,8,19,9,47,17,0,6,19,5,0,21,11,2,25,1,9,4,1,0,5,5,2,1,37,4,1,26,1,10,3,0,25,2,4,25,1,2,4,16,28,1,32,50,4,0
"29","Lactobacillus phage",2190,32,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,100,2,0,0,0,56,809,0,11,0,485,0,0,0,2,13,0,0,0,0,0,43,117,0,0,0,0,0,0,0,37,0,0,0,0,1,474,1
"30","Lipothrixviridae",158,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,4,0,0,0,0,0,39,0,0,0,2,0,0,0,1,0,8,0,1,0,0,0,0,1,0,2,0,45,3,0,0,18,0,1,8,2,0,8,0
"31","Luteoviridae",18,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"32","Marseilleviridae",9,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Microviridae",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"34","Mimiviridae",848,46,76,15,5,5,1,3,9,3,1,3,0,16,5,3,3,9,2,0,11,1,4,5,1,6,9,4,16,11,4,1,2,3,367,27,12,1,2,6,4,4,75,10,6,5,1,3,2,5,16,4,7,1,7
"35","Mycodnaviridae",11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
