,Viral_Families,freq,Vogue1A.01.52,Vogue1A.01.59,Vogue1A.01.61,Vogue1A.01.62,Vogue1A.01.64,Vogue1A.01.65,Vogue1A.01.68,Vogue1A.01.70,Vogue1A.01.74,Vogue1A.01.75,Vogue1A.01.76,Vogue1A.01.78,Vogue1A.01.81,Vogue1A.01.84,Vogue1A.01.85,Vogue1A.01.92,Vogue1A.01.101,Vogue1A.01.106,Vogue1B.01.01,Vogue1B.01.04,Vogue1B.01.05,Vogue1B.01.06,Vogue1B.01.08,Vogue1B.01.09,Vogue1B.01.11,Vogue1B.01.12,Vogue1B.01.13,Vogue1B.01.15,Vogue1B.01.17,Vogue1B.01.21,Vogue1B.01.26,Vogue1B.01.32,Vogue1B.01.34,Vogue1B.01.36,Vogue1B.01.37,Vogue1B.01.38,Vogue1B.01.40,Vogue1B.01.43,Vogue1B.01.48,Vogue1B.01.52,Vogue1B2.01.06,Vogue1B2.01.07,Vogue1B2.01.08,Vogue1B2.01.09,Vogue1B2.01.10,Vogue1B2.01.11,Vogue1B2.01.12,Vogue1B2.01.15,Vogue1A.01.69,Vogue1A.01.71,Vogue1A.01.77,Vogue1B.01.03,Vogue1B.01.27,Vogue1B.01.51
59,Retroviridae,4433,58,13,63,79,98,45,44,35,41,17,55,5,33,74,9,1,44,25,10,18,28,126,23,5,9,26,7,2361,45,3,8,156,50,88,1,67,5,10,75,20,4,16,35,2,61,27,14,7,71,35,29,34,49,169
60,Rhabdoviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Secoviridae,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
62,Streptococcus phage,620,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,7,5,0,0,0,0,0,467,0,0,0,1,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Togaviridae,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Totiviridae,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Turriviridae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Tymoviridae,54,2,1,0,1,1,2,3,0,0,0,2,0,5,2,0,0,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,7,1,1,3,1,3,0,2,0,2,1,0,0,1,2,0,1,0,0
67,Vibrio phage,226,0,1,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,1,0,1,40,0,0,0,1,95,2,4,23,4,0,6,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0
68,Virgaviridae,103,0,0,0,0,0,87,0,0,0,2,0,0,4,2,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69,Betaflexiviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Iflaviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Partitiviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Picobirnaviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Tombusviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
