"","Viral_Species","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52","Total_Reads"
"154","37105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10
"157","37114",0,0,0,0,0,0,7,0,0,0,0,0,2,1667,2,0,0,1,0,1,0,16,2,0,0,1698
"158","37115",0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,4,0,0,9,0,408,0,0,0,425
"159","37116",0,2,0,2,0,0,1,300,1,12,3,3,0,0,8,3,43,38,5,146,36,36870,1,0,0,37474
"160","37119",0,0,3,0,0,0,0,0,0,0,0,0,772,0,0,0,0,0,1,0,0,0,0,0,0,776
"161","37120",0,0,0,0,0,0,0,75,845,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922
"163","37957",0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"164","37959",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7
"165","38018",0,0,0,0,0,0,5,5,0,10,4,0,56,0,0,0,0,71,2,0,3,61,0,0,0,217
"167","39457",305,87,1,2,1,22,1,1,1,0,2,1,13838,1,2,0,4,1,2,161,3,1,0,0,0,14437
"168","39640",0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,24
"171","40272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16
"173","40539",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,13
"174","40631",5,0,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,0,0,5,105
"177","44028",8,6,1,9,3,2196,3,2,2,0,3,12,118804,805,3,6,12,2,9,8,32,6,8,1,12,121953
"178","44088",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4
"179","45101",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"180","45240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,138
"181","45455",0,1,958,0,1,0,0,10,0,9,0,2,0,5,2,0,0,0,1,1,0,66,3,0,0,1059
"182","45617",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
"186","46924",0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,2,0,10
"193","47929",0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"195","50292",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,1,0,0,18
"196","51033",146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
"197","51368",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5
"198","51369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,0,0,17
"200","52979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,10,1,0,0,0,0,0,0,0,129
"206","66261",0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,1,0,0,0,40
"208","68887",1,0,0,0,22,0,0,34,4,1,0,0,12,18,0,0,21,6,0,0,19,0,30,16,0,184
"212","73422",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,1097
"215","78219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24
