"","Viral_Species","Vogue1A.01.61","Vogue1A.01.106","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.71","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.74","Vogue1A.01.77","Vogue1A.01.101"
"80",12657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"81",28278,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"82",28288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",28358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"84",28883,3,0,0,0,0,0,0,0,99,2,2,2,1,3,0,2,0,0,0,0,1
"85",29250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"86",31523,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"87",31535,0,0,0,0,0,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"88",31537,0,0,0,0,0,0,0,0,0,0,14,0,0,0,NA,NA,NA,NA,NA,NA,NA
"89",31548,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",31552,7,3,1,0,6,5,2,3,4,5,6,5,2,10,3,6,9,3,5,4,1
"91",32604,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"92",33706,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"93",33769,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA
"94",35237,1,1,0,0,1,1,1,0,3,0,0,5,1,4,2,1,2,0,1,0,0
"95",35270,9,5,6,1,1,3,4,1,10,1,3,8,0,4,5,6,4,3,1,2,6
"96",35278,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",35294,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
"98",36352,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",36355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"100",37105,12,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0
"101",37108,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"102",37111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",37114,0,0,0,0,0,0,1,0,0,2290,0,0,0,1,0,0,0,0,0,1,0
"104",37115,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,249,0
"105",37116,1,1,0,0,2,0,0,0,0,1,1,2,0,2,0,0,2,2,0,0,0
"106",37119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0
"107",37120,0,0,1,0,0,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0
"108",37959,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"109",38018,0,0,4,32,1,0,3,0,4,2,0,1,0,0,0,0,0,0,0,0,0
"110",39457,2,1,0,0,0,0,0,0,1,1,1,0,1,0,0,3,2,0,0,1,0
"111",39640,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",39724,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"113",41846,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"114",44028,8,5,4,0,4,9,5,6,6,2027,3,5,1,5,7,2,7,2,4,9,3
"115",44088,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"116",45101,2,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
"117",45240,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
"118",45455,0,1,0,0,0,1,1,0,1,0,0,1,0,2,1,0,1,0,1,1,1
"119",45617,1,0,0,0,1,2,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"120",46021,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"121",46924,6,0,0,1,2,1,0,0,0,1,0,0,0,0,4,1,1,0,1,0,0
"122",47488,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",47507,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"124",47929,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"125",51368,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"126",51369,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"127",51677,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"128",52979,174,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",68887,0,0,6,1,1,17,1,0,1,0,218,0,0,0,25,1,5,0,0,0,0
"130",69986,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",74660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"132",79890,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",82830,15,3,6,0,5,10,9,1,10,0,1,5,0,0,0,7,0,1,0,2,2
"134",85154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",85618,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"136",90410,1,0,0,0,1,0,0,0,1,0,0,0,0,12,0,0,0,2,0,0,0
"137",93678,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"138",104240,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"139",104664,3,1,6,1,1,3,0,1,22,3,3,5,0,1,1,3,1,1,1,2,2
"140",106332,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"141",108098,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",110456,0,1,0,1,0,0,0,1,28,2,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
"143",111469,0,2,0,0,0,1,0,7,1,0,0,1,0,0,0,1,0,0,0,0,0
"144",113370,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145",119102,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"146",120381,1,1,1,0,1,1,2,1,1,1,1,0,0,0,2,0,4,1,2,12,1
"147",120574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"148",120686,1,1,2,0,5,1,4,4,2,5,1,5,2,8,6,1,8,0,4,2,4
"149",129724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0
"150",129951,0,13,0,0,0,0,0,0,0,2,1,2,0,5,0,0,0,0,0,0,0
"151",130308,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152",130310,53,6,5,3,17,4,12,3,11,5,6,3,4,4,12,10,16,3,14,3,4
"153",136084,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"154",136966,0,0,1,0,0,4,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0
"155",138184,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
