"","Viral_Species","Vogue1B2.01.11","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.12","Vogue1B2.01.15"
"225",735496,0,0,0,0,1,0,0,0
"226",743582,0,0,0,0,0,1,0,0
"227",749413,0,6,0,1,0,0,0,0
"228",754068,0,0,0,0,0,9,0,1
"229",755272,0,0,0,0,1,0,0,0
"230",755273,0,0,0,1,0,2,1,0
"231",756282,0,0,0,0,4,0,0,0
"232",759389,0,1,0,0,0,0,0,0
"233",764030,2,0,0,2,0,1,21,1
"234",764562,0,2,0,0,0,1,0,0
"235",765056,0,11,0,0,0,0,0,0
"236",765765,0,2,0,0,0,0,0,0
"237",857312,0,16,0,0,0,0,0,0
"238",870469,0,4,0,0,0,0,0,0
"239",870471,0,27,0,0,0,0,0,0
"240",870475,0,1,0,0,0,0,0,0
"241",880159,1,0,0,0,0,0,0,0
"242",911573,0,22,0,0,0,0,0,0
"243",912321,0,0,0,0,4,0,0,0
"244",915428,0,11,0,0,0,0,0,0
"245",915429,0,1,0,0,0,0,0,0
"246",928301,0,0,0,0,0,0,1,0
"247",931210,0,2,0,0,0,0,0,0
"248",931244,1,0,0,1,0,1,0,0
"249",936059,0,1,0,0,0,0,0,0
"250",938082,0,0,0,0,0,3,0,0
"251",942165,0,2,0,0,25,0,0,0
"252",947981,0,0,0,0,4,0,0,0
"253",985782,0,2,0,0,0,0,1,0
"254",988656,0,8,0,1,2,0,0,1
"255",990302,0,16,0,0,0,0,0,0
"256",990303,1,0,0,0,0,1,0,0
"257",990305,0,0,1,0,0,0,0,0
"258",998086,0,1,0,0,22,0,0,0
"259",1051631,0,2,0,0,0,0,0,0
"260",1052673,0,5,0,0,0,0,0,0
"261",1070410,0,3,0,0,0,0,0,0
"262",1070416,0,2,0,0,0,0,0,0
"263",1079998,0,0,0,0,5,0,0,0
"264",1084719,0,0,0,1,8,0,0,0
"265",1090134,0,2,0,0,0,0,0,0
"266",1109713,0,6,0,0,0,0,0,0
"267",1109714,0,16,0,0,0,0,1,0
"268",1128140,0,0,0,1,0,0,0,0
"269",1141137,0,0,0,0,3,0,0,0
"270",1144381,1,0,0,0,0,2,2,0
"271",1147042,0,21,0,0,0,0,0,0
"272",1147043,0,3,0,0,0,0,0,0
"273",1147044,0,1,0,0,0,0,0,0
"274",1161901,0,0,0,0,0,2,0,0
"275",1161906,0,0,0,0,0,1,0,0
"276",1161939,0,0,0,0,0,0,0,123
"277",1163709,0,1,0,0,0,0,0,0
"278",1165908,0,0,0,0,0,1,0,0
"279",1168812,0,0,0,1,0,0,0,0
"280",1168843,0,5,0,0,0,0,0,0
"281",1194091,0,0,1,0,0,1,7,1
"282",1195085,0,12,0,0,0,0,0,0
"283",1195364,0,0,0,0,0,1,0,0
"284",1197952,0,12,0,0,0,0,0,0
"285",1204525,0,3,0,0,0,0,0,0
"286",1204538,0,0,0,0,1,0,0,0
"287",1204539,0,0,0,0,0,0,0,3
"288",1206110,0,0,0,0,0,0,2,10
"289",1206898,0,48,0,0,0,0,0,0
"290",1219875,1,0,0,0,0,0,0,0
"291",1229751,0,1,0,0,0,0,0,0
"292",1229753,0,1,0,0,0,0,0,0
"293",1239381,0,2931,1,0,0,0,0,0
"294",1239386,0,368,0,0,0,0,0,0
"295",1247379,0,0,0,0,48,0,7,0
"296",1273087,0,0,0,0,1,0,0,0
"297",1278246,0,0,0,1,0,3,0,0
"298",1278251,0,0,0,0,0,1,0,0
