"","Var1","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"28","Alphaflexiviridae",15,7,16,23,23,15,16,22,8,4,6,4,75,5,2,21,22,1,0,8,9,2,17,1,3,51,11,0,1,6,6,0,8,1,0,6,0,27,22,1,16,0,0,13,2,106,10,2,8,0,3,3,21,0
"29","Iridoviridae",29,0,13,23,23,19,18,28,4,8,19,9,47,17,0,6,19,5,0,21,11,2,25,1,9,4,1,0,5,5,2,1,37,4,1,26,1,10,3,0,25,2,4,25,1,2,4,16,28,1,32,50,4,0
"30","139871",32,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,100,2,0,0,0,1,809,0,11,0,485,0,0,0,2,13,0,0,0,0,0,43,117,0,0,0,0,0,0,0,37,0,0,0,0,1,474,1
"31","Baculoviridae",41,15,43,67,67,39,33,56,25,23,23,19,36,27,5,36,38,10,0,35,26,12,50,15,18,45,17,6,13,24,26,3,40,3,10,50,12,35,44,4,55,1,9,71,16,11,11,35,32,1,51,50,50,6
"32","Mimiviridae",46,76,15,5,5,1,3,9,3,1,3,0,16,5,3,3,9,2,0,11,1,4,5,1,6,9,4,16,11,4,1,2,3,367,27,12,1,2,6,4,4,75,10,6,5,1,3,2,5,16,4,7,1,7
"33","Siphoviridae",48,11,638,88,88,7,15,37,861,13,93,62,3285,16,49,84,1186,1629,4,19,28,2550,486,32,313,334,345,98,1335,194,418,1672,21,234,7806,198,2470,329,34190,355,127,677,1244,117,154,1138,9420,10,57,316,18,12,715,11
"34","Retroviridae",58,13,61,78,78,45,44,71,30,31,26,17,42,28,5,33,70,5,0,43,25,10,34,1,19,123,23,0,8,23,7,2,32,3,5,49,13,48,73,1,65,4,9,75,10,14,4,11,34,1,29,25,11,6
"35","Adenoviridae",59,33,215,152,152,113,71,101,38,68,108,46,460,46,14,94,85,15,0,55,44,19,60,16,36,192,61,19,24,62,27,45,63,18,37,86,193,88,85,9,96,40,25,106,16,136,20,6958,34,13,58,33,100,185
"36","Podoviridae",65,23,181,86,86,22,92,107,34,20,20,1947,4086,30,289,4074,100,72,0,94,352,239,38,8,154,517,582,36,492,295,175,8253,23,131,104,46,3705,124,1031,480,132,193,956,69,28,1124,1267,9,20,4559,14,17,309,182
"37","755272",89,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"38","Myoviridae",94,51,125,114,114,60,61,131,88,45,69,83,575,58,10,265,148,8690,0,95,61,557,273,7,78,141,297,128,74,31,72,4503,71,57,371,131,9,155,6872,284,136,51,70,181,87,648,273,29,51,61,49,29,369,21
"39","1",106,69,186,137,137,67,65,90,243,52,158,128,1040,46,73,116,169,9386,1,52,71,295,1285,14,132,165,464,38,324,277,133,1030,65,902,2631,148,79,431,9206,36,106,532,389,231,966,577,4615,69,115,30,96,114,1690,26
"40","1349410",116,16,63,99,99,88,68,125,57,51,51,30,19,56,12,37,93,10,0,78,41,18,120,9,24,21,20,1,10,32,16,1,145,15,8,83,5,45,24,2,171,19,7,113,10,1,4,69,93,1,81,137,26,7
"41","Herpesviridae",283,53,297,416,416,621,248,497,198,233,234,205,651,275,124,209,285,71,0,257,247,1367,386,1633432,204,389,272,176,3131,223,3024,259,334,183,3881,402,93,271,78,47,294,77,159,328,67,49,107,412,250,107,269,321,142,72
"42","Polydnaviridae",285,56,140,275,275,185,170,350,150,133,163,77,39,157,20,112,242,19,0,210,104,41,264,7,70,45,47,7,30,73,41,11,357,50,18,229,18,109,72,6,1245,32,21,179,18,3,21,240,253,9,301,432,48,27
"43","Papillomaviridae",778,20,23876,11645,11645,562,441,722,385,537,2179,566,452,8367,1577160,580,574,613,1509,468,328,2430,4030,277,368,417,6361,31590,2887,4478,525,380,610,1287943,9596,1137,379,773184,6439,107,258899,1604,1294523,1571,181,104,156173,393,279,304,852,390,86,200
"44","Phycodnaviridae",878,437,1080,1563,1563,890,601,1086,614,497,651,571,1688,486,703,904,1212,125,0,706,608,335,903,339,569,1857,421,19,211,617,308,28,753,94,100,1101,350,945,1162,91,1396,84,164,1701,506,1533,161,367,590,181,544,466,1226,136
"45","1211387",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","573174",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"47","1640978",0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,1,0,0,1,0,0,0,9,0,0,0,0,1,0,0
"48","28883",0,2,0,0,0,1,0,1,0,0,1,2,158,0,1,6,4,2,0,6,0,0,2,0,0,7,2,13,69,9,0,0,0,1,1,0,9,4,8,1,1,2,0,1,0,0,11,0,1,0,1,2,0,0
"49","Paramyxoviridae",0,3,1,1,1,2,4,0,1,1,2,0,2,2,1,3,1,1,0,3,1,0,0,0,2,1,0,0,0,2,0,0,2,1,2,3,2,1,1,0,0,0,1,0,0,0,1,3,3,0,0,4,1,0
"50","1249501",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Picornaviridae",0,0,1,5,5,2,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,4,0,0,0,2,0,0,3,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,336
"52","Potyviridae",0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,2,1,0,0
