"","Viral_Genus","Vogue1A.01.61","Vogue1A.01.106","Vogue1B2.01.11","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.71","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1B.01.01","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.51","Vogue1B.01.52","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.12","Vogue1B2.01.15","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.74","Vogue1A.01.77","Vogue1A.01.101","Vogue1B.01.03","Vogue1B.01.48"
"40","Dyoomikronpapillomavirus",0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,2,0,0
"41","Enterovirus",72,1,2,5,10,3,9,6,6,1,1,0,6,1,2792,3,343,7,7,1,5,3,7,5,0,8,4,4,8,5,8,3,1,3,3,7,1,29,36,5,0,4,0,16,10,5,3,4,2,4,2,1,5,4
"42","Fuselloviridae",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,0,0
"43","Gammapapillomavirus",0,0,0,36,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,185,0,0,0,5,116,0,0,21,0,0,0,17,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0
"44","Gammaretrovirus",0,0,0,1,0,0,16,0,0,13,0,0,0,4,0,0,1,4,1,0,2,0,1,0,2182,8,1,1,0,6,0,9,0,0,3,1,75,0,0,0,0,0,4,2,0,0,1,1,0,12,0,1,0,1
"45","Glossinavirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"46","Hapunalikevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Hepacivirus",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"48","Hpunalikevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Ichnovirus",21,42,53,29,3,6,25,16,5,168,2,43,31,4,23,4,6,12,3,6,0,5,8,34,1,51,12,1,30,12,13,7,7,1407,5,4,0,1,3,25,38,1,41,3,5,15,16,27,3,20,10,34,12,15
"50","Ictalurivirus",0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Kayvirus",9,10,5,10,11,6,13,7,8,16,4,4,25,1,8,5,1,6,22,1,0,2,2,0,1,12,4,1,7,0,13,6,3,24,1,1,1,1,1,3,8,1,4,1,0,6,6,12,3,3,11,16,4,26
"52","L5likevirus",0,0,0,0,0,0,1,0,1,622,3,0,0,0,0,0,0,0,0,0,1,6,0,0,3,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"53","Lagovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"54","Lambdalikevirus",0,0,0,0,0,0,0,0,0,76,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Lambdapapillomavirus",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"56","Lentivirus",4,1,1,0,0,1,0,1,0,1,0,0,4,1,1,0,0,2,29,0,0,4,1,0,0,1,0,0,0,0,0,10,0,2,2,0,2,5,0,0,0,0,1,0,0,1,1,0,1,0,1,3,1,0
"57","Lymphocryptovirus",79,61,48,43,6,69,49,79,61,44,32,25,39,22,39,849,1090504,59,107,69,71,1000,68,1853,123,49,64,2630,103,18,54,6,42,43,28,112,33,8,30,154,29,28,47,9,23,222,53,68,30,51,62,35,73,50
"58","Macavirus",0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3
"59","Mandarivirus",3,1,1,6,1,1,3,0,1,22,3,3,5,0,1,0,0,0,19,5,0,0,1,1,0,3,0,0,4,0,5,6,9,5,0,0,2,26,0,1,2,0,1,2,0,1,3,1,1,1,2,2,4,2
"60","Mardivirus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"61","Marseilleviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","Mastadenovirus",72,22,8,9,7,36,13,16,6,93,8,13,15,5,12,6,4,12,13,16,6,8,13,5,10,6,8,12,15,24,7,21,6,11,6,8,5,1,8,798,7,5,16,38,21,21,16,23,7,21,7,5,9,17
"63","Mimivirus",0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"64","Molluscipoxvirus",150,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"65","Muromegalovirus",1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
"66","Muscavirus",0,0,0,0,0,0,0,1,0,119,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","N15likevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","N4likevirus",0,0,0,0,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","Omegalikevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Omikronpapillomavirus",2,0,1,0,1,1,2,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,2,0,3,0,0,3,0,0,0,1,0,0,0,0,2,2,0,0,1,0,1,2,1,5,0,0
"71","Orbivirus",0,0,0,3,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0,0,0,15
"72","Orthohepadnavirus",0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","Other Adenoviridae",1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,1,0
"74","Other Anelloviridae",0,0,0,8,1,1,32,1,0,1,0,326,0,0,0,2,0,0,29,7,0,63,4,1,0,1,12,33,0,0,22,6,8,65,34,0,20,0,0,0,1,0,2,0,0,33,1,6,0,0,0,0,0,31
"75","Other dsDNA Viruses",24,20,30,121,3,7,28,15,10,176,3,41,37,6,16,17,13,6,47,9,74,28,18,10,29,22,8,17,32,7,15,14,101,180,21,17,7,0,34,14,18,5,139,6,3,18,13,24,6,22,8,22,17,40
"76","Other Herpesviridae",2,2,0,0,0,0,0,2,1,0,0,5,2,0,1,1,116,1,3,1,0,0,1,9,0,1,9,0,2,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,3
"77","Other Mimiviridae",2,6,0,44,51,0,0,1,6,6,1,1,3,2,1,4,0,1,0,3,7,8,1,1,2,0,290,16,0,0,1,2,76,1,83,5,2,0,2,0,1,49,2,8,3,0,0,0,0,1,0,0,0,2
"78","Other Myoviridae",78,8,2,28,12,1,10,13,59,305,4,175,18,12306,492,579,0,66,12,249,33,75,7,40,481,5,35,175,18,115,104,7916,4233,3,8,55,63,103,300,0,4,55,111,334,12,3,11,6,52,14,10,46,120,29
"79","Other Nudiviridae",2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5
"80","Other Papillomaviridae",1083,35,39,66,1,1023,47,30,59,18,12288,37,48,95,100610,230,20,17,32,1459,2094,528,1278,48,33,46,172136,449,82,34,74283,774,53,73951,124,102849,18,17,16548,28,16,21,55,13,11,27,63,37,25,189,645,31,422,63
"81","Other Phages",3,0,0,42,40,19,0,9,1,339,2,4,46,9,1,159,0,2,0,501,5,19,57,73,42,0,57,1,11,0,37,333,28,0,4,100,11,5,897,0,1,0,0,412,3,0,0,0,4,4,10,0,733,3
"82","Other Phycodnaviridae",0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,9,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,7,0,0,0,0,0,0,0,0,0,0,1
"83","Other Podoviridae",244,23,3,6,12,19,11,7,118,708,557,591,15,12,3343,120,2,4,16,11,11,225,13,7,2490,5,11,15,6,130,9,480,157,14,47,99,22,124,1026,4,2,148,4,10,19131,2,7,24,2,2,4,0,8,6
"84","Other Polyomaviridae",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,7,1,1,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0
"85","Other Retroviridae",1,0,2,0,0,1,2,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"86","Other Siphoviridae",390,13,2,37,11,23,45,9,77,5931,47,62,466,18125,823,1657,1,366,351,394,79,992,200,444,454,13,246,7015,184,2494,246,29931,3772,112,512,1386,349,1054,6282,4,50,260,15,765,7,0,9,7,895,77,5,8,351,79
"87","Other ssDNA Viruses",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","Other ssRNA positive Viruses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","Other Totiviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","Other Viruses",5,2,1,10,9,3,2,2,36,940,1,37,2,94,12,38,0,14,47,134,20,58,22,40,17,5,44,4788,3,263,34,2633,446,12,0,9,51,0,45,0,1,51,0,153,2,2,0,0,0,1,0,1,1,1
"91","Panicovirus",0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","Parapoxvirus",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","Pbunalikevirus",2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","Percavirus",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"95","Pestivirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"96","Phaeovirus",0,0,0,0,0,0,1,0,0,1,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,109,3,0,10,0,0,0,0,0,0,0,0,0
"97","Phieco32likevirus",1,0,0,0,0,0,2,0,77,0,8,16,0,1,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"98","Phietalikevirus",0,0,0,0,0,177,0,0,0,32,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,19,0,0,0,1,23,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
"99","Phijlunalikevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,23,0,0,0,0,15,0,0,0,19,0
"100","Phikmvlikevirus",0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","Phikzlikevirus",0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
"102","Pipapillomavirus",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","Pithovirus",0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0
"104","Prasinovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","Proboscivirus",0,2,8,2,0,2,3,2,2,746,0,3,1,0,2,3,0,1,1,1,0,0,1,0,0,7,0,1,5,0,1,0,0,7,1,0,0,0,0,3,4,0,4,1,0,2,1,3,0,2,4,2,3,3
"106","Protoparvovirus",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
