"","Viral_Family","Vogue1B.01.01","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.51","Vogue1B.01.52","Vogue1B.01.03","Vogue1B.01.48"
"19","Herpesviridae",859,1090635,71,176,90,72,2214,85,1870,128,85,90,2635,136,52,95,20,221,166,31,115,37,8,106,87
"20","Hytrosaviridae",0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"21","Iflaviridae",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Inoviridae",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA
"23","Iridoviridae",0,0,0,1,0,0,0,1,1,0,5,0,0,6,0,1,29,0,8,0,3,0,0,0,2
"24","Lipothrixviridae",24,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,36,0,0,0,2
"25","Luteoviridae",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Marseilleviridae",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0
"27","Mimiviridae",4,1,2,0,3,11,14,1,1,2,1,292,18,1,0,1,12,76,1,83,6,3,0,0,2
"28","Myoviridae",587,1,72,37,253,121,89,12,67,482,20,60,190,25,115,118,7950,4245,27,32,97,66,104,NA,NA
"29","Nimaviridae",1,0,0,1,12,0,0,1,7,1,0,0,1,0,0,0,50,0,1,0,0,0,0,0,5
"30","Nudiviridae",0,0,0,2,1,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,5
"31","Other dsDNA viruses",17,13,6,40,9,38,3,13,9,38,22,8,19,32,6,15,5,56,180,20,12,7,0,17,40
"32","Other Phages",178,0,2,0,501,7,24,57,73,42,0,57,1,11,0,38,334,28,0,3,100,15,5,733,3
"33","Other ssDNA viruses",0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0
"34","Other ssRNA negative-strand viruses",0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"35","Other ssRNA positive-strand viruses",0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Other Viruses",19,0,14,47,134,18,57,22,40,17,5,44,4788,3,263,34,2633,446,12,0,9,48,0,57,1
"37","Papillomaviridae",1491,98,147,159,4057,18025,1789,2512,267,175,283,769253,6198,522,163,478611,4509,318,144935,888,717778,84,63,2230,776
"38","Phycodnaviridae",71,71,134,503,85,4,88,133,55,14,122,22,15,209,71,162,190,373,289,21,19,344,236,182,329
"39","Picornaviridae",3,343,7,7,1,6,3,7,5,0,9,5,4,8,5,8,3,1,3,3,7,1,29,6,4
"40","Podoviridae",122,1,5,27,32,11,227,18,11,2494,5,15,17,7,182,13,513,267,17,62,134,23,140,NA,NA
"41","Polydnaviridae",4,6,12,14,6,0,5,8,34,1,52,13,1,30,12,13,8,7,1407,5,16,0,1,12,15
"42","Polyomaviridae",1,0,0,0,0,0,0,17,0,4,0,0,0,0,1,0,108,7,1,1,1,0,0,1,0
"43","Potyviridae",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Poxviridae",1,2,1,0,0,1,0,2,8,1,0,0,2,0,4,0,4,0,1,0,0,0,1,1,2
"45","Reoviridae",0,1,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,0,15
"46","Retroviridae",1,2,8,45,1,2,6,5,0,2183,11,2,1,12,7,3,20,3,8,5,3,79,7,7,5
"47","Secoviridae",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"48","Siphoviridae",1680,2,384,355,418,84,1015,208,733,470,13,254,7042,184,2548,262,32859,3823,119,540,1392,375,1059,NA,NA
"49","Totiviridae",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Turriviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"51","Tymoviridae",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"52","Virgaviridae",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
