"","Viral_Species","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15","Total_Reads"
"640","1052673",5,0,0,0,0,0,0,0,5
"642","1070410",3,0,0,0,0,0,0,0,3
"648","1079998",0,0,0,5,0,0,0,0,5
"649","1084719",0,0,1,8,0,0,0,0,9
"653","1109713",6,0,0,0,0,0,0,0,6
"654","1109714",16,0,0,0,0,0,1,0,17
"672","1141137",0,0,0,3,0,0,0,0,3
"673","1144381",0,0,0,0,2,1,2,0,5
"676","1147042",21,0,0,0,0,0,0,0,21
"677","1147043",3,0,0,0,0,0,0,0,3
"684","1161939",0,0,0,0,0,0,0,123,123
"692","1168843",5,0,0,0,0,0,0,0,5
"693","1194091",0,1,0,0,1,0,7,1,10
"695","1195085",12,0,0,0,0,0,0,0,12
"698","1197952",12,0,0,0,0,0,0,0,12
"700","1204525",3,0,0,0,0,0,0,0,3
"703","1204539",0,0,0,0,0,0,0,3,3
"704","1206110",0,0,0,0,0,0,2,10,12
"705","1206898",48,0,0,0,0,0,0,0,48
"721","1239381",2931,1,0,0,0,0,0,0,2932
"723","1239386",368,0,0,0,0,0,0,0,368
"726","1247379",0,0,0,48,0,0,7,0,55
"736","1278246",0,0,1,0,3,0,0,0,4
"742","1278270",0,0,0,0,1132,1,0,0,1133
"745","1279083",16,2,1,133,1,1,2,0,156
"750","1289570",250,0,0,0,0,0,0,0,250
"751","1289595",7,0,0,0,0,0,0,0,7
"752","1289596",736,0,0,0,0,0,0,0,736
"755","1289601",18,0,0,0,0,0,0,0,18
"775","1327993",17,0,0,0,0,0,0,0,17
"778","1335230",0,0,0,0,108,0,0,0,108
"781","1349409",0,0,0,0,100,2,1,0,103
"782","1349410",1,13,15,1,23,24,3,1,81
"788","1367205",1,0,0,0,0,0,2,0,3
"789","1385385",3,0,0,0,0,0,0,0,3
"793","1392231",400,0,0,0,0,0,0,0,400
"794","1398177",0,2,2,0,2,8,0,0,14
"795","1399941",0,0,1,156,0,0,30,3,190
"803","1416334",0,0,0,0,1,0,0,2,3
"805","1421421",0,1,3,0,3,2,8,0,17
"806","1421422",0,3,2,0,1,3,39,0,48
"808","1421424",0,1,2,0,0,0,0,0,3
"810","1429768",3,0,0,0,0,0,0,0,3
"817","1450746",0,0,0,0,7,0,1,0,8
"832","1474867",2,0,0,0,3,0,0,0,5
"838","1484958",7,8,5,10,64,8,4,8,114
"840","1486472",5,0,0,0,0,0,0,0,5
"853","1518022",0,0,4,0,0,1,0,0,5
"859","1527771",0,0,0,5,0,0,0,0,5
"876","1566990",40,0,0,0,0,0,0,0,40
"881","1567453",1,0,0,0,0,0,113,0,114
"886","1574422",7,0,0,0,0,0,0,0,7
"888","1589270",5,0,0,0,1,0,0,0,6
"894","1597976",4,0,0,0,0,0,0,0,4
"895","1605721",1,1,0,1,2,3,0,1,9
"899","1610831",1,3,8,1,4,5,1,0,23
"900","1610872",11,0,0,0,0,0,0,0,11
"902","1622193",3,0,0,0,0,0,0,0,3
"905","1623300",38,0,0,0,0,0,23,0,61
"906","1623303",9,0,0,0,0,0,0,0,9
"907","1623304",28,0,0,0,0,0,0,0,28
"913","1640978",8,0,0,0,0,0,0,0,8
"921","1654582",0,0,0,0,2,1,0,0,3
