"","Var1","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"29","Herpesviridae",62,12,100,84,81,238,73,106,40,95,65,73,801,76,33,46,84,24,51,61,77,852,104,1071967,70,176,90,70,2213,84,1870,125,83,90,2633,136,51,94,19,213,161,7,114,87,33,7,35,170,60,32,61,91,23,25
"30","755272",103,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"31","Phycodnaviridae",162,74,219,226,171,140,79,164,104,118,75,162,401,71,65,285,230,22,110,144,132,69,182,71,131,503,85,4,85,133,55,12,120,22,15,208,70,162,190,373,287,3,19,329,338,236,22,45,103,111,76,44,238,37
"32","Papillomaviridae",366,12,9085,3630,209,197,189,227,154,332,1017,228,134,4048,1099092,216,231,291,284911,188,162,1491,2230,98,147,159,4057,18025,1789,2512,267,175,282,769241,6198,522,163,478611,4509,316,144164,865,717777,776,84,63,95434,192,112,131,431,168,43,88
"33","1211387",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","573174",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","1640978",0,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,7,0,0,1,0,0,0,8,0,0,0,0,0,0,0
"36","1168813",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","35237",0,0,1,1,1,2,1,2,0,1,1,0,3,0,0,0,5,1,4,0,1,14,0,8,3,3,0,1,0,3,0,0,3,0,14,7,0,1,0,1,9,1,0,3,0,0,8,0,0,0,1,1,0,0
"38","1449437",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
